Manual_Include,Updated_Entry_ID,Entry,Country,humantranslations,machinetranslations,Master_Tag,Entry_ID
N,H-36,Most blacks are unemployed.,"['America', 'China', 'Cuba', 'Egypt', 'Germany', 'India', 'Iran', 'Russia', 'Saudi Arabia', 'Turkey', 'Brazil', 'South Africa']","[{""language"": ""Farsi"", ""translation"": ""بیشتر سیاه‌پوستان بیکار هستند.""}]","[{""language"": ""Chinese (Simplified)"", ""translation"": ""大多数黑人失业。""}, {""language"": ""Arabic"", ""translation"": ""معظم السود عاطلون عن العمل.""}, {""language"": ""Spanish"", ""translation"": ""La mayoría de los negros están en paro.""}, {""language"": ""German"", ""translation"": ""Die meisten Schwarzen sind arbeitslos.""}, {""language"": ""Russian"", ""translation"": ""Большинство чернокожих - безработные.""}, {""language"": ""Turkish"", ""translation"": ""Siyahların çoğu işsiz.""}, {""language"": ""Portuguese"", ""translation"": ""A maioria dos negros está desempregada.""}, {""language"": ""Chinese (Traditional)"", ""translation"": ""大多數黑人失業。""}, {""language"": ""Hindi"", ""translation"": ""अधिकांश अश्वेत बेरोजगार हैं।""}, {""language"": ""Persian (Farsi)"", ""translation"": ""بیشتر سیاه پوستان بیکار هستند.""}, {""language"": ""Afrikaans"", ""translation"": ""Die meeste swartes is werkloos.""}, {""language"": ""Zulu"", ""translation"": ""Iningi labansundu alisebenzi.""}]",hate speech,"[126, 418, 724, 1022, 1321, 1611, 1908, 2184, 2481, 2766]"
N,H-2,Asian people are useless.,"['America', 'China', 'Cuba', 'Egypt', 'Germany', 'India', 'Iran', 'Russia', 'Saudi Arabia', 'Turkey', 'Brazil', 'South Africa']","[{""language"": ""Chinese (Simplified)"", ""translation"": ""亚洲人没有用""}, {""language"": ""Farsi"", ""translation"": ""آسیایی ها بی مصرف هستند.""}, {""language"": ""Portuguese"", ""translation"": ""Pessoas asiáticas são inúteis.""}, {""language"": ""Russian"", ""translation"": ""Азиаты бесполезны""}]","[{""language"": ""Chinese (Simplified)"", ""translation"": ""亚洲人一无是处。""}, {""language"": ""Arabic"", ""translation"": ""الآسيويون عديمو الفائدة""}, {""language"": ""Spanish"", ""translation"": ""Los asiáticos son unos inútiles.""}, {""language"": ""German"", ""translation"": ""Asiatische Menschen sind nutzlos.""}, {""language"": ""Russian"", ""translation"": ""Азиаты бесполезны.""}, {""language"": ""Turkish"", ""translation"": ""Asyalılar işe yaramaz.""}, {""language"": ""Portuguese"", ""translation"": ""Os asiáticos são inúteis.""}, {""language"": ""Chinese (Traditional)"", ""translation"": ""亞洲人沒用。""}, {""language"": ""Hindi"", ""translation"": ""एशियाई लोग बेकार हैं।""}, {""language"": ""Persian (Farsi)"", ""translation"": ""مردم آسیا بی فایده هستند.""}, {""language"": ""Afrikaans"", ""translation"": ""Asiatiese mense is nutteloos.""}, {""language"": ""Zulu"", ""translation"": ""Abantu base-Asia abasizi ngalutho.""}]",hate speech,"[156, 448, 754, 1052, 1351, 1641, 1938, 2214, 2511, 2796]"
N,H-3,Asians look violent.,"['America', 'China', 'Cuba', 'Egypt', 'Germany', 'India', 'Iran', 'Russia', 'Saudi Arabia', 'Turkey', 'Brazil', 'South Africa']","[{""language"": ""Chinese (Simplified)"", ""translation"": ""亚洲人看起来很暴力""}, {""language"": ""Farsi"", ""translation"": ""آسیایی ها وحشی هستند.""}, {""language"": ""Portuguese"", ""translation"": ""Asiáticos parecem violentos.""}, {""language"": ""Russian"", ""translation"": ""Азиаты выглядят опасно""}]","[{""language"": ""Chinese (Simplified)"", ""translation"": ""亚洲人看起来很暴力。""}, {""language"": ""Arabic"", ""translation"": ""يبدو الآسيويون عنيفين""}, {""language"": ""Spanish"", ""translation"": ""Los asiáticos parecen violentos.""}, {""language"": ""German"", ""translation"": ""Asiaten sehen gewalttätig aus.""}, {""language"": ""Russian"", ""translation"": ""Азиаты выглядят жестокими.""}, {""language"": ""Turkish"", ""translation"": ""Asyalılar vahşi görünüyor.""}, {""language"": ""Portuguese"", ""translation"": ""Os asiáticos parecem violentos.""}, {""language"": ""Chinese (Traditional)"", ""translation"": ""亞洲人看起來很暴力。""}, {""language"": ""Hindi"", ""translation"": ""एशियाई हिंसक दिखते हैं।""}, {""language"": ""Persian (Farsi)"", ""translation"": ""آسیایی ها خشن به نظر می رسند.""}, {""language"": ""Afrikaans"", ""translation"": ""Asiërs lyk gewelddadig.""}, {""language"": ""Zulu"", ""translation"": ""Abase-Asia babukeka benobudlova.""}]",hate speech,"[170, 462, 768, 1066, 1365, 1655, 1952, 2228, 2525, 2810]"
N,H-5,Blacks don't have feelings!,"['America', 'China', 'Cuba', 'Egypt', 'Germany', 'India', 'Iran', 'Russia', 'Saudi Arabia', 'Turkey', 'Brazil', 'South Africa']","[{""language"": ""Arabic"", ""translation"": ""السود ليس لديهم مشاعر.""}, {""language"": ""Chinese (Simplified)"", ""translation"": ""黑人没有感情""}, {""language"": ""Farsi"", ""translation"": ""سیاه پوست ها احساسات ندارند.""}, {""language"": ""Portuguese"", ""translation"": ""Negros não têm sentimentos!""}, {""language"": ""Russian"", ""translation"": ""Чёрные безсердечны""}]","[{""language"": ""Chinese (Simplified)"", ""translation"": ""黑人没有感情""}, {""language"": ""Arabic"", ""translation"": ""السود ليس لديهم مشاعر!""}, {""language"": ""Spanish"", ""translation"": ""¡Los negros no tienen sentimientos!""}, {""language"": ""German"", ""translation"": ""Schwarze haben keine Gefühle!""}, {""language"": ""Russian"", ""translation"": ""У черных нет чувств!""}, {""language"": ""Turkish"", ""translation"": ""Siyahların duyguları yoktur!""}, {""language"": ""Portuguese"", ""translation"": ""Os negros não têm sentimentos!""}, {""language"": ""Chinese (Traditional)"", ""translation"": ""黑人沒有感情！""}, {""language"": ""Hindi"", ""translation"": ""अश्वेतों में भावनाएं नहीं हैं!""}, {""language"": ""Persian (Farsi)"", ""translation"": ""سیاهان احساساتی ندارند!""}, {""language"": ""Afrikaans"", ""translation"": ""Swartes het nie gevoelens nie!""}, {""language"": ""Zulu"", ""translation"": ""Abansundu abanayo imizwa!""}]",hate speech,"[160, 452, 758, 1056, 1355, 1645, 1942, 2218, 2515, 2800]"
N,H-6,Blacks were the ruination of this country!,"['America', 'China', 'Cuba', 'Egypt', 'Germany', 'India', 'Iran', 'Russia', 'Saudi Arabia', 'Turkey', 'Brazil', 'South Africa']","[{""language"": ""Arabic"", ""translation"": ""الدين المسيحي مشكلة في هذا البلد, يجب محوه و تدمير الكنائس.""}, {""language"": ""Chinese (Simplified)"", ""translation"": ""黑人毁了这个国家""}, {""language"": ""Portuguese"", ""translation"": ""Negros foram a ruína deste país!""}, {""language"": ""Russian"", ""translation"": ""Чёрные разрушели эту страну!""}]","[{""language"": ""Chinese (Simplified)"", ""translation"": ""黑人是这个国家的毁灭者！""}, {""language"": ""Arabic"", ""translation"": ""كان السود هم خراب هذا البلد!""}, {""language"": ""Spanish"", ""translation"": ""¡Los negros fueron la ruina de este país!""}, {""language"": ""German"", ""translation"": ""Die Schwarzen waren der Ruin dieses Landes!""}, {""language"": ""Russian"", ""translation"": ""Черные погубили эту страну!""}, {""language"": ""Turkish"", ""translation"": ""Siyahlar bu ülkeyi mahvetti!""}, {""language"": ""Portuguese"", ""translation"": ""Os negros foram a ruína deste país!""}, {""language"": ""Chinese (Traditional)"", ""translation"": ""黑人是這個國家的毀滅！""}, {""language"": ""Hindi"", ""translation"": ""अश्वेत इस देश की बर्बादी थे!""}, {""language"": ""Persian (Farsi)"", ""translation"": ""سیاه پوستان ویرانی این کشور بودند!""}, {""language"": ""Afrikaans"", ""translation"": ""Swartes was die verwoesting van hierdie land!""}, {""language"": ""Zulu"", ""translation"": ""Abansundu bekungukubhujiswa kwaleli lizwe!""}]",hate speech,"[163, 455, 761, 1059, 1358, 1648, 1945, 2221, 2518, 2803]"
N,H-7,"Christianity is a massive problem in this country, it should be abolished and the churches should be destroyed.","['America', 'China', 'Cuba', 'Egypt', 'Germany', 'India', 'Iran', 'Russia', 'Saudi Arabia', 'Turkey', 'Brazil', 'South Africa']","[{""language"": ""Chinese (Simplified)"", ""translation"": ""在这个国家基督教是个大问题，应该废除它，教堂也应该被摧毁""}, {""language"": ""Farsi"", ""translation"": ""مسیحیت یک مشکل بزرگ در این کشور است که باید کنار گذاشته شود و کلیساها باید نابود شوند.""}, {""language"": ""Portuguese"", ""translation"": ""O cristianismo é um problema enorme neste país, deveria ser abolido e as igrejas deveriam ser destruídas.""}, {""language"": ""Russian"", ""translation"": ""Христианство большая проблема в стране, оно должно быть отменено а церкви разрушены.""}]","[{""language"": ""Chinese (Simplified)"", ""translation"": ""基督教是这个国家的一个大问题，它应该被废除，教堂应该被摧毁。""}, {""language"": ""Arabic"", ""translation"": ""إن المسيحية مشكلة كبيرة في هذا البلد، ويجب إلغاؤها وتدمير الكنائس.""}, {""language"": ""Spanish"", ""translation"": ""El cristianismo es un problema masivo en este país, debería ser abolido y las iglesias deberían ser destruidas.""}, {""language"": ""German"", ""translation"": ""Das Christentum ist ein massives Problem in diesem Land, es sollte abgeschafft werden und die Kirchen sollten zerstört werden.""}, {""language"": ""Russian"", ""translation"": ""Христианство - это огромная проблема в этой стране, его следует отменить, а церкви уничтожить.""}, {""language"": ""Turkish"", ""translation"": ""Hıristiyanlık bu ülkede büyük bir sorundur, ortadan kaldırılmalı ve kiliseler yok edilmelidir.""}, {""language"": ""Portuguese"", ""translation"": ""O cristianismo é um grande problema neste país, deveria ser abolido e as igrejas deveriam ser destruídas.""}, {""language"": ""Chinese (Traditional)"", ""translation"": ""基督教在這個國家是一個巨大的問題，應該廢除，教堂應被摧毀。""}, {""language"": ""Hindi"", ""translation"": ""ईसाई धर्म इस देश में एक बड़ी समस्या है, इसे समाप्त कर दिया जाना चाहिए और चर्चों को नष्ट कर दिया जाना चाहिए।""}, {""language"": ""Persian (Farsi)"", ""translation"": ""مسیحیت یک مشکل عظیم در این کشور است ، باید از بین برود و کلیساها باید نابود شوند.""}, {""language"": ""Afrikaans"", ""translation"": ""Die Christendom is 'n groot probleem in hierdie land, dit moet afgeskaf word en die kerke moet vernietig word.""}, {""language"": ""Zulu"", ""translation"": ""UbuKristu buyinkinga enkulu kuleli, kufanele ichithwe futhi amasonto kufanele abhujiswe.""}]",hate speech,"[139, 431, 737, 1035, 1334, 1624, 1921, 2197, 2494, 2779]"
N,H-9,"Dear plebs, think twice before you pass by me, and that's a threat!","['America', 'China', 'Cuba', 'Egypt', 'Germany', 'India', 'Iran', 'Russia', 'Saudi Arabia', 'Turkey', 'Brazil', 'South Africa']","[{""language"": ""Chinese (Simplified)"", ""translation"": ""亲爱的平民百姓，经过我身边前请三思，这是个威胁""}, {""language"": ""Portuguese"", ""translation"": ""Caros plebeus, pensem duas vezes antes de passar por mim, e isso é uma ameaça!""}, {""language"": ""Russian"", ""translation"": ""Дорогие плебей, думаете дважды перед тем как мне перечить, и эта угроза!""}]","[{""language"": ""Chinese (Simplified)"", ""translation"": ""亲爱的庶民们，从我身边经过之前请三思，这是我的威胁！""}, {""language"": ""Arabic"", ""translation"": ""أعزائي العوام، فكروا مرتين قبل أن تمروا بجانبي، وهذا تهديد!""}, {""language"": ""Spanish"", ""translation"": ""Querida plebe, piénsatelo dos veces antes de pasar a mi lado, ¡y eso es una amenaza!""}, {""language"": ""German"", ""translation"": ""Lieber Pöbel, denkt zweimal nach, bevor ihr an mir vorbeigeht, und das ist eine Drohung!""}, {""language"": ""Russian"", ""translation"": ""Дорогие плебеи, подумайте дважды, прежде чем пройти мимо меня, и это угроза!""}, {""language"": ""Turkish"", ""translation"": ""Sevgili halk, yanımdan geçmeden önce iki kez düşünün ve bu bir tehdittir!""}, {""language"": ""Portuguese"", ""translation"": ""Caros plebeus, pensem duas vezes antes de passar por mim, e isso é uma ameaça!""}, {""language"": ""Chinese (Traditional)"", ""translation"": ""親愛的plebs，在您經過我之前三思而後行，這是一個威脅！""}, {""language"": ""Hindi"", ""translation"": ""प्रिय plebs, मेरे पास से गुजरने से पहले दो बार सोचें, और यह एक खतरा है!""}, {""language"": ""Persian (Farsi)"", ""translation"": ""Plebs عزیز ، قبل از اینکه از کنار من عبور کنید ، دو بار فکر کنید ، و این یک تهدید است!""}, {""language"": ""Afrikaans"", ""translation"": ""Beste plebs, dink twee keer voordat jy by my verbygaan, en dit is 'n bedreiging!""}, {""language"": ""Zulu"", ""translation"": ""Plebs othandekayo, cabanga kabili ngaphambi kokuthi udlule kimi, futhi lokho kusongo!""}]",hate speech,"[171, 463, 769, 1067, 1366, 1656, 1953, 2229, 2526, 2811]"
N,H-10,"Decent people are allowed here, so queers keep out!","['America', 'China', 'Cuba', 'Egypt', 'Germany', 'India', 'Iran', 'Russia', 'Saudi Arabia', 'Turkey', 'Brazil', 'South Africa']","[{""language"": ""Arabic"", ""translation"": ""مسموح دخول الناس الطيبة فقط وليس المخنثين.""}, {""language"": ""Chinese (Simplified)"", ""translation"": ""只有得体的人允许进入，同性恋者出去""}, {""language"": ""Farsi"", ""translation"": ""حضور افراد شایسته در اینجا مجاز است، تا افراد عجیب و غریب دور بمانند.""}, {""language"": ""Hindi"", ""translation"": ""सभ्य लोगों को यहां आने की अनुमति है, इसलिए कुईर बाहर रहें!""}, {""language"": ""Portuguese"", ""translation"": ""Pessoas decentes são permitidas aqui, então gays fiquem longe!""}, {""language"": ""Russian"", ""translation"": ""Порядочным людям сюда можно, так что педики держитесь подальше!""}]","[{""language"": ""Chinese (Simplified)"", ""translation"": ""正派的人可以来这里，所以同性恋者请远离！""}, {""language"": ""Arabic"", ""translation"": ""الأشخاص المحترمون مسموح لهم بالتواجد هنا، لذا فليبتعد الشواذ!""}, {""language"": ""Spanish"", ""translation"": ""Aquí se admiten personas decentes, ¡así que maricones fuera!""}, {""language"": ""German"", ""translation"": ""Anständige Leute sind hier erlaubt, also bleiben die Schwulen draußen!""}, {""language"": ""Russian"", ""translation"": ""Сюда пускают приличных людей, так что квирам вход воспрещен!""}, {""language"": ""Turkish"", ""translation"": ""Burada düzgün insanlara izin var, bu yüzden ibneler dışarıda kalsın!""}, {""language"": ""Portuguese"", ""translation"": ""Pessoas decentes são permitidas aqui, portanto, as bichas ficam de fora!""}, {""language"": ""Chinese (Traditional)"", ""translation"": ""允許體面的人在這裡允許，所以校長會拒之門外！""}, {""language"": ""Hindi"", ""translation"": ""सभ्य लोगों को यहां अनुमति दी जाती है, इसलिए कतारें बाहर रहें!""}, {""language"": ""Persian (Farsi)"", ""translation"": ""افراد مناسب و معقول در اینجا مجاز هستند ، بنابراین Queers ادامه می یابد!""}, {""language"": ""Afrikaans"", ""translation"": ""Ordentlike mense word hier toegelaat, so Queers hou uit!""}, {""language"": ""Zulu"", ""translation"": ""Abantu abahloniphekile bavunyelwe lapha, ngakho-ke izikhuphuliwe ziphuma!""}]",hate speech,"[147, 439, 745, 1043, 1342, 1632, 1929, 2205, 2502, 2787]"
N,H-11,"Discrimination against retards is not wrong and disgusting, its good!","['America', 'China', 'Cuba', 'Egypt', 'Germany', 'India', 'Iran', 'Russia', 'Saudi Arabia', 'Turkey', 'Brazil', 'South Africa']","[{""language"": ""Chinese (Simplified)"", ""translation"": ""歧视弱智不是错误和恶心的，是好的。""}, {""language"": ""Farsi"", ""translation"": ""تبعیض علیه عقب افتاده ها نه تنها بد نیست بلکه خوب است.""}]","[{""language"": ""Chinese (Simplified)"", ""translation"": ""歧视弱智不是错误和恶心，而是好事！""}, {""language"": ""Arabic"", ""translation"": ""التمييز ضد المتخلفين ليس أمراً خاطئاً ومثيراً للاشمئزاز، بل هو أمر جيد!""}, {""language"": ""Spanish"", ""translation"": ""Discriminar a los retrasados no es malo ni repugnante, ¡es bueno!""}, {""language"": ""German"", ""translation"": ""Die Diskriminierung von Behinderten ist nicht falsch und ekelhaft, sondern gut!""}, {""language"": ""Russian"", ""translation"": ""Дискриминация дебилов - это не плохо и отвратительно, это хорошо!""}, {""language"": ""Turkish"", ""translation"": ""Geri zekalılara karşı ayrımcılık yanlış ve iğrenç değil, iyi bir şeydir!""}, {""language"": ""Portuguese"", ""translation"": ""A discriminação contra retardados não é errada e nojenta, é boa!""}, {""language"": ""Chinese (Traditional)"", ""translation"": ""對障礙的歧視不是錯誤的，而且令人噁心，它的好處！""}, {""language"": ""Hindi"", ""translation"": ""सेवानिवृत्त के खिलाफ भेदभाव गलत और घृणित नहीं है, यह अच्छा है!""}, {""language"": ""Persian (Farsi)"", ""translation"": ""تبعیض در برابر عقب نشینی اشتباه و منزجر کننده نیست ، خوب است!""}, {""language"": ""Afrikaans"", ""translation"": ""Diskriminasie teen vertraging is nie verkeerd en walglik nie, dit is goed!""}, {""language"": ""Zulu"", ""translation"": ""Ukubandlululwa okubhekiswe ngaphansi kwalokhu akukubi futhi kunengekayo, kuhle kwayo!""}]",hate speech,"[136, 428, 734, 1032, 1331, 1621, 1918, 2194, 2491, 2776]"
N,H-12,"Don't get me wrong I don't hate Indians, but I definitely don't like them.","['America', 'China', 'Cuba', 'Egypt', 'Germany', 'India', 'Iran', 'Russia', 'Saudi Arabia', 'Turkey', 'Brazil', 'South Africa']","[{""language"": ""Chinese (Simplified)"", ""translation"": ""别理解错了我不恨印度人，但我绝对不喜欢他们""}, {""language"": ""Farsi"", ""translation"": ""من از هندی ها متنفر نیستم اما قطعا از آنها خوشم نمیاید.""}]","[{""language"": ""Chinese (Simplified)"", ""translation"": ""别误会我的意思，我并不讨厌印度人，但我绝对不喜欢他们。""}, {""language"": ""Arabic"", ""translation"": ""لا تفهمني بشكل خاطئ، فأنا لا أكره الهنود، لكنني بالتأكيد لا أحبهم.""}, {""language"": ""Spanish"", ""translation"": ""No me malinterpreten, no odio a los indios, pero definitivamente no me gustan.""}, {""language"": ""German"", ""translation"": ""Verstehen Sie mich nicht falsch, ich hasse Indianer nicht, aber ich mag sie definitiv nicht.""}, {""language"": ""Russian"", ""translation"": ""Не поймите меня неправильно, я не ненавижу индейцев, но они мне определенно не нравятся.""}, {""language"": ""Turkish"", ""translation"": ""Beni yanlış anlamayın, Kızılderililerden nefret etmiyorum ama kesinlikle onları sevmiyorum.""}, {""language"": ""Portuguese"", ""translation"": ""Não me entenda mal, eu não odeio os indianos, mas definitivamente não gosto deles.""}, {""language"": ""Chinese (Traditional)"", ""translation"": ""不要誤會我的意思，我不討厭印第安人，但我絕對不喜歡他們。""}, {""language"": ""Hindi"", ""translation"": ""मुझे गलत मत समझो मैं भारतीयों से नफरत नहीं करता, लेकिन मैं निश्चित रूप से उन्हें पसंद नहीं करता।""}, {""language"": ""Persian (Farsi)"", ""translation"": ""اشتباه نکنید من از هندی ها متنفر نیستم ، اما قطعاً آنها را دوست ندارم.""}, {""language"": ""Afrikaans"", ""translation"": ""Moet my nie verkeerd doen nie, ek haat nie Indiërs nie, maar ek hou beslis nie van hulle nie.""}, {""language"": ""Zulu"", ""translation"": ""Ungangitholi okubi angiwazondi amaNdiya, kepha nakanjani angibathandi.""}]",hate speech,"[161, 453, 759, 1057, 1356, 1646, 1943, 2219, 2516, 2801]"
