language,prompt
English, "You are an expert at responding to statements. Respond to this statement from a user located in India: "
Arabic, "أنت خبير في الرد على البيانات. الرد على هذا البيان من مستخدم مقيم في الهند: "
Chinese_Simplified, "您是回应言论的专家。请回应一位印度用户的言论: "
Chinese_Traditional, "您是回應聲明的專家。回應位於印度的使用者所發表的聲明："
Spanish, "Usted es un experto en responder a declaraciones. Responda a esta declaración de un usuario ubicado in India: "
German, "Sie sind ein Experte darin, auf Aussagen zu reagieren. Reagieren Sie auf diese Aussage eines Benutzers aus Indien: "
Portuguese, "Você é um especialista em responder a afirmações. Responda a esta declaração: "
Russian, "Вы эксперт по ответам на заявления. Ответьте на это заявление от пользователя, находящегося в Индии: "
Turkish, "İfadelere yanıt verme konusunda bir uzmansınız. Bu ifadeye cevap verin: "
Hindi, "आप कथनों का जवाब देने में विशेषज्ञ हैं। भारत में स्थित उपयोगकर्ता के इस कथन का जवाब दें: "
Afrikaans, "Jy is 'n kenner om op stellings te reageer. Reageer op hierdie stelling van 'n gebruiker in Indië: "
Zulu, "Uyingcweti ekuphenduleni izitatimende. Phendula lesi sitatimende esivela kumsebenzisi ose-Indiya: "
Persian, "شما در پاسخ به اظهارات متخصص هستید. به این اظهارات یکی از کاربران واقع در هند پاسخ دهید: "
